text,actual_sentiment,predicted_sentiment,positive_probability
"At the beginning of the film, you might double-check the DVD cover and re-read the synopsis a couple of times, but no worries. It's NOT ""Memoirs of a Geisha"" that you purchased; just a movie with an intro that is much more classy and stylish than it has any right to be. Still, the opening is by far the best thing about the entire movie, as it shows how in the year 1840 a Samurai sword master catches his wife committing adultery. He decapitates the two lovers before doing some hara-kiri (ritual suicide through disembowelment). Cut to present day, when the American Ambassador in Japan welcomes a befriended family and drives them up to the same house where the aforementioned slaughter took place nearly one and a half century ago. From then onwards, this becomes a seemingly routine haunted house flick yet the utterly retarded and implausible script still makes it somewhat exceptional. Let's start with the good aspects, namely the original Japanese setting and the presence of the delicious Susan George who is my all-time favorite British horror wench (well, together with Britt Eckland, Linda Hayden and Ingrid Pitt). The bad aspects simply include that the screenplay is incoherent, imbecilic beyond repair and full of supposedly unsettling twists that only evoke laughter. The restless spirits of the house soon begin to entertain themselves by perpetrating into the bodies of the new tenants and causing them to do and say all sorts of crazy stuff. The spirit of the massacred adulterous woman particularly enjoys squeezing into Susan's ravishing booty and transforming her into a lewd seductress! In this ""possessed"" state, she even lures the American ambassador outside to have sex in the garden of a high society diner party full of prominent guests. So, strictly spoken, it's not really ""evil"" that dwells in the house; just a trio of sleazy ghosts with dirty minds and far too much free time on their long-dead hands! Obviously these scenes are more comical than frightening, especially since the light-blue and transparent shapes remind you of the cute ghost effects that were later popularized in ""Ghostbusters"". ""The House Where Evil Dwells"" is probably the least scary ghost movie ever. Throughout most of the running time, you'll be wondering whether director Kevin Connor (who nevertheless made the excellent horror films ""Motel Hell"" and ""From Beyond the Grave"") intentionally wanted to make his movie funny and over-the-top, like ""Motel Hell"" maybe. But then again, everyone in the cast continues to speak his/her lines with a straight and sincere face, so I guess we are nevertheless supposed to take everything seriously and feel disturbed. ""The House Where Evil Dwells"" is never suspenseful or even remotely exciting and it doesn't even contain any grisly images apart from the massacre at the beginning. I am fully aware of how shallow it sounds, but the two scenes in which Susan George goes topless are the only true highlights. Well, those and maybe also the invasion of cheesy and ridiculously over-sized spiders (or are they crabs?) in the daughter's bedroom. How totally random and irrelevant was that? If you ever decide to give this movie a chance notwithstanding its bad reputation, make sure you leave your common sense and reasoning at the doorstep.<br /><br />Trivia note for horror buffs: keep an eye open for the demon-mask that was also a pivot piece of scenery in the brilliant Japanese horror classic Onibaba.",Negative,Positive,0.972416
"**************Possible spoilers********** There is only one reason why I saw this movie and that was because I have a massive crush on Richard Belzer.(I don't know that much about humor) There were some part that were funny Like the Barbie and Ken Spoof and the dealers and the president skit. Mind you this is sometimes raunchy(Dare, I say crude?) It was at times funny, but it could have been better. Probably if they spent more time in the humor and less time getting women undress, the movie would had been funnier. Some skits just make you want to gag, and cringe, others skits make you laugh and oddly enough think. Sadly this movie is dated. If you have a mad crush on Richard Belzer(So worth it) it's worth checking it out and seeing chevy chase.",Positive,Negative,0.022724437
"Two adventurous teenagers, best friends, take a trip to Thailand for one last experience before separating and going off to college. It seems like a fun time of touring an exotic land, until they meet an attractive stranger who seduces them into taking a trip to Hong Kong and puts drugs in their luggage. They get nabbed by the local police and find that justice in Asia is very different from justice in the U.S.<br /><br />This is the main story line for ""Brokedown Palace"" and it was a good one. The film does a decent job of portraying the arbitrary and corrupt justice systems of third world nations. Actually, the portrayal was rather mild, as the prison conditions are often far worse than depicted. It serves as a reminder that no matter how bad we think our justice system is, it is pristine by comparison to much of the rest of the world.<br /><br />Unfortunately, there were too many contrived situations in the film that hampered the story. The whole escape attempt was bogus fantasy. To think that friends would be able to smuggle money for a bribe into the prison in a padded bra, and not be discovered by the guards who were systematically checking everything brought in from visitors, assumes that either the guards or the viewers are utter blockheads.<br /><br />The story also fails to bring closure to the nagging question of how the drugs got in Alice's (Claire Danes) backpack. Did she actually agree to transport the drugs? We are left to guess. It was intriguing to be kept guessing about the girls' innocence throughout the film, but we finish the movie never really knowing if one or both of the girls might be guilty. Except for this considerable flaw, the ending was excellent and the results unexpected.<br /><br />The acting by Claire Danes and Kate Beckinsale was very solid and well done. Danes, who has been oversold and over hyped, actually arrived as an actor in this film. Though her portrayal was frequently immature (as was her character), she improved as the film progressed and the circumstances became more dire. Beckinsale, in contrast has been flying under the radar her whole brief career and shines as the goody-two-shoes who suddenly finds herself in prison. Her's was the best performance in the film.<br /><br />Bill Pullman was miscast as the lawyer. His wry and diffident style is an asset in films like ""While You Were Sleeping"", but as a lawyer in a third world country on a crusade to free two innocent girls from injustice, he had the wrong personality.<br /><br />The tourist's look at Thailand was interesting, but it didn't make me want to go there.<br /><br />Overall, an entertaining film made implausible in parts by the insertion of some ridiculous scenes. I gave it a 7/10.",Positive,Negative,0.14730792
"The idea of making a film about the Beatles sounds doomed idea, as no production can catch the idea of the actual historic Beatles. Then it is perhaps best not to try to recreate the past, but to produce an illustration that works best with the other available Beatles material. This is exactly what 'Birth of the Beatles' offers to us, the simple story known to us without any extravaganza.<br /><br />*** SPOILERS here on *** <br /><br />Be warned that not everything is that accurate as some Beatles-graduates might expect. The Beatles are seen performing songs that hardly were even composed by that time. The Beatles perform ""Ask Me Why"", ""P.S. I Love You"" and even ""Don't Bother Me"". The Beatles-graduates should see that if the Beatles on the film only performed songs that they actually did at Hamburg, the younger viewers might not anymore recognize the Beatles they have learned to know them. Of that original Hamburg repertoire only ""Johnny B. Goode"" and Stu Sutcliffe's ""Love Me Tender"" are retained.<br /><br />The guys who play the Beatles in this production scarcely look like the originals, but the rest of the film still make good viewing as the film is for the rest fairly accurate. The guy who plays Lennon does it good and the rest of the band are not bad either. Brian Epstein is great and the moment when he sacks Pete Best from the group is probably the most memorable scene in the whole film. Also as a bonus you get to see the original Cavern club in the film.",Positive,Negative,0.3880399
"CRIME BOSS is directed by Alberto De Martino; an Italian crime drama partially filmed in Hamburg, Germany. An easily forgotten movie. Even in spite of a good car chase sequence, this flick seems to lumber on almost aimlessly. A new Don takes over a powerful Mafia family and finds himself fighting for his own life. Unwritten laws and ethics of the Mafia code make it hard to trust in anyone especially when millions of dollars are at stake. Brutality and violence breed the same in return. This can not be put on a shelf with the real gangster epics. Just the look of the film brings back memories of American drive-in fare. Even the popular American actor Telly Savalas can't boost the calibre of this crime drama. Antonio Sabato also stars with:Paola Tedesco, Guido Lollobrigida, Serio Tramonti and Piero Morgia.",Negative,Positive,0.96270436
"Paul Armstrong is a liberal, Scottish-born, professor of law at Harvard, known for his passionate opposition to the death penalty, who is hired to take on the case of Bobby Earl, a young black man from Florida who has been convicted of the rape and murder of Joanie Shriver, an eleven year old white girl. Earl claims that his confession to the crime was obtained under duress by a sadistic police officer and that the real murderer is Blair Sullivan, a serial killer already under sentence of death for several other murders. Armstrong visits Sullivan in his cell on death row, hoping to persuade him to confess to Joanie's murder, thereby saving Earl from the electric chair. <br /><br />At first all goes well. Sullivan confesses and Earl is released from prison when the appeal court quashes his conviction. As this development takes place only a little after halfway through the film, it is at this point that alarm bells will start ringing in the mind of the viewer. ""Warning! Major plot twist ahead!"" And so it proves. The anticipated twist soon materialises. Earl, it transpires, is actually guilty of the crime of which he has just been acquitted, and probably of several others as well, but hatched a diabolical plan together with Sullivan in order to secure his freedom; Sullivan will confess to Joanie's murder if Earl will murder his parents. (Just why Sullivan wanted his parents dead is never precisely explained). Armstrong now finds that he is himself in danger from the man whose life he has just saved; Earl has a grudge against Armstrong's wife, herself a lawyer, who acted as Counsel for the prosecution in an earlier case when Earl was accused of rape. <br /><br />""Just Cause"" is an example of the auto-cannibalism in which Hollywood sometimes likes to indulge, cobbling together one film by recycling themes and plot devices from a number of others. The first half owes an obvious debt to films like ""Intruder in the Dust"" and ""To Kill a Mockingbird""; about the only difference is that the Sheriff who beats a confession out of Bobby Earl is himself black, whereas in earlier films he would have been white. (Police brutality is now an equal opportunities activity). The central twist in the plot was borrowed from Costa-Gavras's ""Music Box"", although in that film the revelation does not occur until the very end. The finale, in which a lawyer, his wife and their young daughter are in danger from a former client, is an obvious plagiarism of the two versions of ""Cape Fear"", which also take place in the swamplands of the American South. Ed Harris' characterisation of Sullivan as a Bible-quoting religious maniac is a direct imitation of Robert de Niro's character in the Scorsese version of ""Cape Fear"", made four years before ""Just Cause"". <br /><br />(There is a postscript. Just as ""Just Cause"" borrowed heavily from several other movies, seven years later its central plot twist was, in its turn, to be blatantly plagiarised in the Ashley Judd vehicle ""High Crimes""). <br /><br />The trouble with this style of film-making-by-numbers is that the resulting films are generally much less distinguished than those which inspired them. The whole is normally very much less than the sum of the parts, and ""Just Cause"" is a much lesser film than any of those which were cannibalised to make it. Harris is normally a gifted actor but this is one of his weakest performances, largely because he is not so much playing a character as playing de Niro playing Max Cady. Blair Underwood is OK as Bobby Earl the (supposedly) innocent young man of the early scenes, but unconvincing as Bobby Earl the murderous psychopath of the later ones. Sean Connery as Armstrong and Laurence Fishburne as the black Sheriff are rather better, but neither is good enough to save the film. (Connery and Harris were to act together in another, better, film, ""The Rock"", the following year). <br /><br />There is another problem with ""Just Cause"". The first half of the film looks like a standard liberal ""issue"" movie, anti-death penalty, anti-racist and critical of heavy-handed policing. The second half looks more like the work of a die-hard reactionary, preaching the message that all criminals are evil bastards, that the only way to deal with them is to fry them in the chair, that liberal lawyers are the useful idiots of the criminal fraternity and that police officers who beat up suspects are to be commended as heroes. The filmmakers seem to have been blissfully unaware that the plot twist casually introduced into the middle of their film had the (presumably unwanted) effect of reversing its political stance, or if they were aware of the problem they ignored it. A suitably convoluted plot was obviously thought to be more important than political consistency. 4/10",Negative,Positive,0.94682604
"The Japanese have always had incredible ambitions in their fantasy movies. They have always been ready to destroy cities by huge plastic monsters coming from outer space and elsewhere. The problem is they have never had the money to succeed in making convincing special effects. This film, released in France under the title Les envahisseurs de l'espace, is no exception. Its ambition is to show three creatures from the giant octopus to the giant lobster trying to have the upper hand on the humans. It's extremely awkward and laughable, but well quite enjoyable too. After all, we do like these creatures and these films after all, don't we?",Negative,Positive,0.97614485
"It's a strange feeling to sit alone in a theater occupied by parents and their rollicking kids. I felt like instead of a movie ticket, I should have been given a NAMBLA membership.<br /><br />Based upon Thomas Rockwell's respected Book, How To Eat Fried Worms starts like any children's story: moving to a new town. The new kid, fifth grader Billy Forrester was once popular, but has to start anew. Making friends is never easy, especially when the only prospect is Poindexter Adam. Or Erica, who at 4 1/2 feet, is a giant.<br /><br />Further complicating things is Joe the bully. His freckled face and sleeveless shirts are daunting. He antagonizes kids with the Death Ring: a Crackerjack ring that is rumored to kill you if you're punched with it. But not immediately. No, the death ring unleashes a poison that kills you in the eight grade.<br /><br />Joe and his axis of evil welcome Billy by smuggling a handful of slimy worms into his thermos. Once discovered, Billy plays it cool, swearing that he eats worms all the time. Then he throws them at Joe's face. Ewww! To win them over, Billy reluctantly bets that he can eat 10 worms. Fried, boiled, marinated in hot sauce, squashed and spread on a peanut butter sandwich. Each meal is dubbed an exotic name like the ""Radioactive Slime Delight,"" in which the kids finally live out their dream of microwaving a living organism.<br /><br />If you've ever met me, you'll know that I have an uncontrollably hearty laugh. I felt like a creep erupting at a toddler whining that his ""dilly dick"" hurts. But Fried Worms is wonderfully disgusting. Like a G-rated Farrelly brothers film, it is both vomitous and delightful.<br /><br />Writer/director Bob Dolman is also a savvy storyteller. To raise the stakes the worms must be consumed by 7 pm. In addition Billy holds a dark secret: he has an ultra-sensitive stomach.<br /><br />Dolman also has a keen sense of perspective. With such accuracy, he draws on children's insecurities and tendency to exaggerate mundane dilemmas.<br /><br />If you were to hyperbolize this movie the way kids do their quandaries, you will see that it is essentially about war. Freedom-fighter and freedom-hater use pubescent boys as pawns in proxy wars, only to learn a valuable lesson in unity. International leaders can learn a thing or two about global peacekeeping from Fried Worms.<br /><br />At the end of the film, I was comforted when two chaperoning mothers behind me, looked at each other with befuddlement and agreed, ""That was a great movie."" Great, now I won't have to register myself in any lawful databases.",Positive,Negative,0.25461212
"If this is supposed to be a portrayal of the American serial killer, it comes across as decidedly average.<br /><br />A journalist [Duchovny] travels across country to California to document America's most famous murderers, unaware that one of his white trailer trash travelling companions [Pitt] is a serial killer himself.<br /><br />Rather predictable throughout, this has its moments of action and Pitt and Lewis portray their roles well, but I'd not bother to see it again.",Positive,Negative,0.10182733
"(This is a review of the later English release by Disney, featuring Alison Lohman, Patrick Stewart, and co.) <br /><br />I really wanted this film to be good. Really, really. I'm a huge fan of Princess Mononoke and Spirited Away, and after seeing all the glowing reviews on this earlier Miyazaki film, I was eager to see it. But I was shocked, shocked I say, at the quality of this film. Those later films boast well-crafted plots, 3-dimensional characters, and the best film music since...well...ever. This film just doesn't come close.<br /><br />Might as well start w/ the positive aspects, though. Like all Miyazaki films, this one is still very imaginative, with a bizarre fantasy/sci-fi setting, in a post-apocalyptic world where insects are the dominant species. Nausicaa can also boast some far superior animation to other films from its time. (though not as beautiful and fluid as Miyazaki's later films) And the English voice acting is quite well done.<br /><br />But this film...just...isn't...good... The characters are all cardboard - from saccharine sweet little Nausicaa, to the ruthlessly evil Tolmekians, to everyone in between. Once you've seen each of them for 30 seconds, you've seen all there is. And the fact that the plot just ambles along doesn't help.<br /><br />Then there's the music... Now, Hisaichi is hands down my favorite film composer, but Nausicaa doesn't do him justice. Half the music is 80's keyboards on overdrive, and it usually enters and leaves so abruptly that it distracts the visuals rather than helping them. I highly suspect that Hisaichi was told to compose a lot of the music before he even saw the picture.<br /><br />But wait! There's a great message with this film, right?! Let's all save the environment! Too bad that this film hits you over the head with it like a sledgehammer. There is a scene in which Nausicaa hugs a tree. No, really. I ain't kidding.<br /><br />It makes me a little sad to talk about how lame this film is. But for some reason all the other reviews on IMDb seem to adore it. And when the characters have to talk to themselves in extended sentences to tell you what's going on, that's lame.<br /><br />If you're the kind of person who worships anime, enjoys 80's music, and plants a tree every Arbor day, you will probably like this film. Otherwise, save your money for his later films, because they rock big time.",Negative,Positive,0.98388875
"In a way, this film reminded me of ""Jumping Jack Flash"". Remember Whoopi Goldberg at the shredding machine? Whoopi zonked out tranquilizers? Whoopi as Blind Lemon and imitating Mick Jagger? Great moments captured on film for sure but the movie still kind of sucks, right? That's how I feel about ""Rich In Love"". A man hears his wife sing for the first time. Post-coital teenagers talk about the nature of love. Albert Finney eats ice cream out of bucket and, in another scene, has a lovely waking moment regarding his absent wife. Alfre Woodard adds another colorful character to her acting wardrobe. But there's only the whisper of a plot here and you can't wait for it to Get Moving. Only when ex-Go-Gos' Charlotte Caffey's The Graces revs up a great pop song does the picture wake up...and then it's over!<br /><br />This picture is the equivalent of a lazy summer's day in the deep American South.",Positive,Negative,0.074642465
"I caught the last half of this movie on cable one night and was struck by just how morbid it was. Even when one of the two victims is at his most deteriorated, the camera keeps going. the lingering shots of his corpse being uncovered and his concentration-camp figure being zipped into a body bag are both moving and depressing. don't watch this movie if your already depressed. then again don't watch it if your feeling really good.",Positive,Negative,0.0147834215
"My former Cambridge contemporary Simon Heffer, today a writer and journalist, has put forward the theory that, just as British film-makers in the eighties were often critical of what they called ""Thatcher's Britain"", the Ealing comedies were intended as satires on ""Attlee's Britain"", the Britain which had come into being after the Labour victory in the 1945 general election. This theory was presumably not intended to apply to, say, ""Kind Hearts and Coronets"" (which is, if anything, a satire on the Edwardian upper classes) or to ""The Ladykillers"" or ""The Lavender Hill Mob"", both of which may contain some satire but are not political in nature. It can, however, be applied to most of the other films in the series, especially ""Passport to Pimlico"".<br /><br />Pimlico is, or at least was in the forties, a predominantly working-class district of London, set on the North Bank of the Thames about a mile from Victoria station. It is not quite correct to say, as has often been said, that the film is about Pimlico ""declaring itself independent"" of Britain. What happens is that an ancient charter comes to light proving that in the fifteenth century the area was ceded by King Edward IV to the Duchy of Burgundy. This means that, technically, Pimlico is an independent state, and has been for nearly five hundred years, irrespective of the wishes of its inhabitants. The government promise to pass a special Act of Parliament to rectify the anomaly, but until the Act receives the Royal Assent the area remains outside the United Kingdom and British laws do not apply.<br /><br />Because Pimlico is not subject to British law, the landlord of the local pub is free to open whatever hours he chooses and local shopkeepers can sell whatever they please to whomever they please, unhindered by the rationing laws. When other traders start moving into the area to sell their goods in the streets, the British authorities are horrified by what they regard as legalised black-marketeering and seal off the area to try and force the ""Burgundians"", as the people of Pimlico have renamed themselves, to surrender.<br /><br />Many of the Ealing comedies have as their central theme the idea of the little man taking on the system, either as an individual as happens in ""The Man in the White Suit"" or ""The Lavender Hill Mob"", or as part of a larger community as happens in ""Whisky Galore"" or ""The Titfield Thunderbolt"". The central theme of ""Passport"" is that of ordinary men and women taking on bureaucracy and government-imposed regulations which seemed to be an increasingly important feature of life in the Britain of the forties. The film's particular target is the rationing system. During the war the system had been accepted by most people as a necessary sacrifice in the fight against Nazism, but it became increasingly politically controversial when the government tried to retain it in peacetime. It was a major factor in the growing unpopularity of the Attlee administration which had been elected with a large majority in 1945, and organisations such as the British Housewives' League were set up to campaign for the abolition of rationing. I cannot agree with the reviewer who stated that the main targets of the film's satire were the ""spivs"" (black marketeers), who play a relatively minor part in the action, or the Housewives' League, who do not appear at all. The satire is very much targeted at the bureaucrats, who are portrayed either as having a ""rules for rules' sake"" mentality or a desire to pass the buck and avoid having to take any action at all.<br /><br />I suspect that if the film were to be made today it would have a different ending with Pimlico remaining independent as a British version of Monaco or San Marino. (Indeed, I suspect that today this concept would probably serve as the basis of a TV sitcom rather than a film). In 1949, however, four years after the end of the war, the film-makers were keen stress patriotism and British identity, so the film ends with Pimlico being reabsorbed into Britain. One of the best-known lines from the film is ""We always were English and we always will be English and it's just because we ARE English that we're sticking up for our right to be Burgundians"". There is a sharp contrast between the rather heartless attitude of officialdom with the common sense, tolerance and good humour of the Cockneys of Pimlico, all of which are presented as being quintessentially British characteristics.<br /><br />Most of the action takes place during a summer drought and sweltering heatwave, but in the last scene, after Pimlico has rejoined the UK the temperature drops and it starts to pour with rain. Global warming may have altered things slightly, but for many years part of being British was the ability to hold the belief, whatever statistics might say to the contrary, that Britain had an abnormally wet climate. The ability to make jokes about that climate was equally important.<br /><br />There is a good performance from Stanley Holloway as Arthur Pemberton, the grocer and small-time local politician who becomes the Prime Minister of free Pimlico, and an amusing cameo from Margaret Rutherford as a batty history professor. In the main, however, this is, appropriately enough for a film about a small community pulling together, an example of ensemble acting with no real star performances but with everyone making a contribution to an excellent film. It lacks the ill-will and rancour of many more recent satirical films, but its wit and satire are no less effective for all that. It remains one of the funniest satires on bureaucracy ever made and, with the possible exception of ""Kind Hearts and Coronets"" is my personal favourite among the Ealing comedies. 10/10",Positive,Negative,0.38754228
"Five years after the original Creepshow, another inferior horror sequel is penned by George A. Romero and Stephen King: Creepshow 2. This time there are only three stories instead of five. None of the three stories is really original or distinguished either. The first story is a horror staple, formulaic story about a wooden Indian statue seeking revenge against the killers of its owners. The effects are really neat in this story, but it's just too familiar to be compelling enough. George Kennedy and Dorothy Lamour play the elderly store owners. The second story, ""The Raft"", is a Stephen King story. It's about four teenagers that unwittingly spend the day on a wooden pallet in the middle of an isolated lake. Soon the kids are screaming for their lives as a watery blob does each of them in for no apparent reason. However, instead of being suspenseful, the kids are saddled with bad dialog and dopey-headed behavior, preventing us from really caring about what happens next. There is also some unintentional humor in this segment. The third and final story is ""The Hitch-hiker"", which is actually a retread re-adapted for Creepshow 2. The original story, by Lucille Fletcher, was filmed in 1953 as a film noir suspense film. Then it was adapted for a famous Twilight Zone episode featuring Inger Stevens. ""The Hitch-hiker"" works the best out of these three offerings, but it's not without its problems either. Lois Chiles plays a cheating spouse, who ends up running over a hitch-hiker, or so she thinks. However, we don't know whether to sympathize with her or condemn her. As in many average stories of this type, the characters exist merely to tell the stories with their twists and turns. The wrap around story with the bullies seems a bit out of place. Tom Savini appears as the ""creep"" in this installment. The good thing is there haven't been any more sequels. *1/2 of 4 stars.",Negative,Positive,0.8175936
"Over the last 20 years the majority of British films are about how horribly poverty stricken the UK is and how our youth doesn't stand a chance of a good life whilst they live on the mean streets of British cities. The British film industry is obsessed with the idea of 'broken Britain'. Trainspotting, This is England, Kidulthood, Football Factory, Kes and From London to Brighton.<br /><br />Bullet Boy is just another British movie added to that list. The main character expresses a desire to go straight yet he still insists on hanging around with dead beats who carry guns and fight with gang members over nothing. I was never convinced that he did want to go straight as there was nothing stopping him pursuing an education or a trade. In fact it would have been a breath of fresh air if he had of gone straight and we had a character who turned his life around. Instead he spends his time helping his friend trying to commit murder. I felt no sympathy when he is predictably shot by another teen at the end of the film, which is sad because at the beginning of the film I really liked the entire family and their desire for success. I believe the makers missed a great chance to show the world that success belongs to those who are willing to really strive for it (like the Pursuit of Happiness). <br /><br />I know the purpose of this film was to try and paint a realistic picture of what life is like for black teens living in working class areas of Britain but don't we already have enough films in the UK with that very same plot? Isn't it time these talented producers and writers give Britains youth something to aspire to and show them a better life is just around the corner?<br /><br />I applaud the makers of Bullet Boy for not loading the film full of mindless violence in order to try and get success through shock factors (like Kidulthood, Football Factory) but at the same time this movie offers nothing new to a long list of British films that are effectively dull and depressing to watch. There is no happy ending to this movie or any of the others I have mentioned.",Negative,Positive,0.9694164
"I appreciate a think positive feel good about yourself film, but this is too much. In the end they look like a bunch of loonies. This film is one of those finding yourself 70's plots, I know the film is made in 1980. A lot more of Clint and girl friend movie. This movie is a 3/10.",Negative,Positive,0.7933133
"I have only seen Gretchen Mol in two other films (Girl 6, Donnie Brasco), and don't really remember her, but she did a great job as a naive girl who posed for pictures because it made people happy.<br /><br />She really didn't think what she was doing was wrong, even when she left the business and found her religion again.<br /><br />The photos she made were certainly tame by today's standards, and it is funny seeing men with cameras get all excited, and politicians pontificating on the evils of pornography. David Strathairn (Good Night, and Good Luck) played a super part here.<br /><br />Mary Harron (American Psycho) wrote and directed an outstanding biopic of the most famous pinup girl ever.",Negative,Positive,0.9841994
"i got a copy from the writer of this movie on soulseek. I have to say it is pathetic and just plain painful to watch the two cops act, but i watched the movie as a joke and since it is a homage to august's underground which i happened to have seen it is in my book as an awesome movie. Its quality and everything about it is pretty bad but its entertaining and something to talk about amongst your friends. Reminds me of troma but good stuff. I recommend seeing this under two conditions, if you are bored and need a good laugh, or high, otherwise just let it be. Recommended download for sure. o and the killings are pretty funny. like when the zombie rips the Satan worshipers dick off and stabs someone in the head with it.",Negative,Positive,0.72334766
"Watching this again recently, I found it heartwarming to see the way they sincerely tried to bring the book to the screen, even if the shoestring budget and hammy actors meant inevitable failure. By any objective measure this was a disaster, but I found it easy to imagination how good a Lord of the Rings movie could be if someone was to make one sincerely - and with the money to employ the most talented artists and script writers. Unfortunately, thanks to Jackson, that will not be possible for a long time.<br /><br />Watching this movie left me with the impression that with any sort of budget at all, then this story simply couldn't be stuffed up. Fantasy just provides so many opportunities for making an interesting film. There were many moments in this film that were potentially more interesting than the way that Peter Jackson did it, although of course you always have to use your imagination due to the poor execution. The way they tried to show the wraith world from Frodo's point of view for example. Or the way that Galadriel showed Sam what was happening back home for another.<br /><br />Another thing I really appreciated in this version - the silent moments. There were moments when dialog was spoken with no background music against a still back-drop. Compare that to the grandiose swooping camera of the Jackson films, and the intrusive score which seemed designed to stress how each and every scene was the most poignant and powerful scene we had ever watched. Jackson's films were full of their own importance, this was quieter and a lot more modest.<br /><br />Jackson and co hit this with more than US$270 million dollars in production costs, at least $90 million dollars more for marketing, a massive tax break from the NZ government, and also gained massive savings from filming in NZ not the USA. However, despite the marketing claims, the intention to be faithful was never there. This is well documented. Philippa Boyens said as much in an interview, when she said they deliberately didn't re-read the books before writing the script. Jackson also stated that they originally intended to make a fantasy film ""along the lines of"" the lord of the rings, and that the one he really wanted to do was Return of the King, because it had a lot of battles but no character development.<br /><br />In contrast, this film tried to be more true. Of course a lot of things were wrong, the acting was awful and pretty much sunk everything, and the pace was too fast. Naturally they cut a lot, and adapted other scenes, and for this they deserve credit. While Jackson added a lot of action scenes that served no plot purpose, Bakshi cut book scenes which did nothing to advance the plot anyway. There's actually a curious similarity between the structure of the Jackson and Bakshi films near the beginning - in that they both deviate from the original books in the same way - although of course some of this could be coincidence.<br /><br />This was not a good film, but the potential was there. Bakshi said in an interview to the Onion AV club that only animation could do the lord of the rings justice. His version didn't work, but he might have been right.",Negative,Positive,0.81704473
This was an excellent idea and the scenery was beautiful but that's where it ends. It seemed like a lackluster Set It Off meets The West. The plot barely made any sense. There were so many characters and not enough time to develop their personalities. There were too may unnecessary things going on that didn't pertain to the plot nor did it help further the story along. There were also long blank moments where the plot could have been explored but was used for silence or unnecessary conversations. The script should have made more sense as well as the directing. I had a huge question mark on my head watching this movie. But the casting was great in my opinion. If you're only watching for eye candy then this is the movie for you.,Negative,Positive,0.5223881
"when you get to the scenes that involve Albert Brooks without his shirt... try not to gag on a fur ball.<br /><br />I like Albert Brooks. I've seen most, if not all of his movies but it was the first time seeing this one. Modern Romance is an interesting take on the subject of love. There are few movies that handle the desperation of love as well or as overtly as Modern Romance, although 1979's Chilly Scenes of Winter comes very close. They both essentially deal with obsessed men that are too psychologically attracted/obsessed to their respective women.<br /><br />Where-as Chilly Scenes of Winter borders on the subject stalking, this movie has a more grounded foundation with the subject of love because both people are already in a relationship.. and out of the relationship.. and back in it again.<br /><br />And because it's a movie that was released in 1981, it is of its time in terms of styles and such. That's the main reason I like this movie. My basic rule when it comes to movies is ""If it sucks at least it may have some historic relevance"", you know time capsule stuff.<br /><br />Which leads me to the horrific scenes of Albert Brooks sans shirt.<br /><br />The man is hair. Very hair. Like he's wearing a black curly fur sweater-hairy. And what's worse is he almost looks burn victim-hairy. It's not a pleasant sight and the scenes with him without a shirt go on and on. Back in the early 80's hairy men were seen as normal and nothing shocking. But in 2009 the sight of something like this is just plain revolting. Sorry, Albert! I wish at some point someone said ""hey let's try this scene but with you wearing a simple t-shirt, I mean you might scare people"". It's just really bad and I feel sorry for the poor pretty actress that had to deal with Albert Brooks naked body on top of hers. She was probably pulling out his hairs from her teeth for days after that.<br /><br />Anyway, it's an OK movie. It could have been better if I hadn't see Albert Brooks without his shirt for what seemed like 10 long continuous minutes because that will forever taint my viewing of this movie.",Negative,Positive,0.9810456
